threshold_pct,n_alerts,precision,recall,f_score
1.0,10,0.8,0.05555555555555555,0.10389610389610389
2.0,10,0.8,0.05555555555555555,0.10389610389610389
3.0,10,0.8,0.05555555555555555,0.10389610389610389
5.0,10,0.8,0.05555555555555555,0.10389610389610389
10.0,10,0.8,0.05555555555555555,0.10389610389610389
15.0,10,0.8,0.05555555555555555,0.10389610389610389
20.0,10,0.8,0.05555555555555555,0.10389610389610389
25.0,10,0.8,0.05555555555555555,0.10389610389610389
30.0,10,0.8,0.05555555555555555,0.10389610389610389
35.0,10,0.8,0.05555555555555555,0.10389610389610389
40.0,10,0.8,0.05555555555555555,0.10389610389610389
