date,embedding,headline,Cluster
2023-03-03,"[-2.35416442e-01 -1.39669910e-01 -2.19775334e-01  7.90460110e-02
  9.51145962e-02 -2.69080043e-01 -1.56201005e-01  4.27183658e-02
  7.03806639e-01  6.07341900e-03 -1.38119668e-01 -4.75988567e-01
 -2.11365789e-01 -3.22299358e-03  4.02390301e-01  1.29193529e-01
  7.03355670e-02  5.98721905e-03  1.59888715e-01 -1.27618853e-02
 -1.24237642e-01  2.54885051e-02 -2.82139510e-01  7.26774037e-02
 -1.90904930e-01 -1.95897117e-01  3.04258466e-01  1.23335011e-01
 -8.53376240e-02 -2.42761105e-01  1.43291682e-01  7.56550059e-02
 -1.14684604e-01  5.64016309e-03  6.45343810e-02  1.85438544e-01
  9.38590989e-02  1.67833820e-01  8.70602950e-02 -1.55102864e-01
  1.71171248e-01 -5.21283746e-02 -3.96128893e-01 -2.95240700e-01
 -1.94636911e-01  4.26630042e-02  2.81723648e-01 -3.69662009e-02
 -4.57340740e-02  3.55896592e-01 -1.58811092e-01  2.18572214e-01
  9.21654329e-02  2.81199992e-01 -9.22701508e-02 -1.64202437e-01
  1.01328984e-01 -9.77348387e-02  1.60953384e-02  9.27836075e-02
  1.62250951e-01 -3.30598019e-02 -2.82018274e-01  1.26208037e-01
  1.55288465e-02 -5.39424308e-02  3.67556274e-01  2.23319158e-01
 -2.26921141e-02 -7.57637098e-02 -1.34709161e-02  1.23261258e-01
  2.71195173e-01  1.79477334e-02 -4.20208015e-02  2.93673482e-02
  3.39722335e-01 -3.52397233e-01 -1.17756136e-01  7.60360584e-02
 -7.23118782e-02  6.57449886e-02  3.31395954e-01 -9.66398120e-02
 -1.44511625e-01 -1.30319521e-01  1.07846871e-01  1.00156575e-01
  2.52655059e-01 -2.11822525e-01 -3.19934413e-02  5.96789178e-03
  3.58133614e-02 -1.45453990e-01 -3.75835180e-01 -1.79086387e-01
  2.17735514e-01 -2.37869933e-01 -1.08103208e-01 -6.76779896e-02
  2.46698141e-01  1.70303509e-01  9.98020992e-02  2.29248613e-01
  3.61360647e-02  2.16218367e-01  6.42976701e-01 -3.45236808e-02
 -1.19055778e-01 -1.40383646e-01  1.87260196e-01  4.81113791e-02
 -7.52304047e-02  9.28714350e-02  2.21096382e-01  5.40891923e-02
  3.52484025e-02 -6.49101138e-01  2.32493848e-01 -1.45787761e-01
  1.04385829e+00 -2.49958664e-01  4.00031172e-02  5.48383445e-02
 -1.18832134e-01  2.10717812e-01  5.31509370e-02  2.98657358e-01
 -5.22344649e-01  1.44068273e-02  1.98061243e-02 -1.15055032e-01
 -6.29997477e-02  2.86370646e-02  6.67141825e-02 -4.15274203e-02
 -2.27301493e-01  8.87673721e-02 -2.62830734e-01 -6.01495989e-03
  5.68281598e-02 -9.53406021e-02  1.33385628e-01  4.90704626e-02
 -1.54570207e-01 -2.25384563e-01 -1.40354246e-01 -1.16820643e-02
 -3.39869633e-02  1.23950161e-01 -6.07757092e-01  6.14092276e-02
  6.40211999e-02 -9.48985517e-02  4.83211043e-04  6.18783236e-02
 -2.91455891e-02 -1.48575395e-01 -5.72460115e-01 -4.52009253e-02
  2.13869825e-01 -9.12783481e-03 -4.08363724e+00 -1.39051303e-01
 -1.57491975e-02 -1.12276591e-01 -2.00983863e-02  2.83457011e-01
 -4.68434729e-02  1.49509534e-01  3.11075673e-02  4.34390396e-01
  7.93623626e-02  2.09636047e-01 -1.56081960e-01 -7.21595585e-02
 -2.11031556e-01  2.14793533e-01  2.01290280e-01  1.58147186e-01
 -2.06246227e-01  2.39430949e-01  9.96081233e-02 -1.13797240e-01
  7.78577700e-02  6.98135570e-02  1.70320854e-01 -2.33443901e-01
 -6.95963129e-02 -1.58217639e-01 -1.38613701e-01  2.39373110e-02
  1.97484806e-01 -4.19375114e-02 -6.62719905e-01 -9.05342340e-01
  2.41943851e-01 -2.20861763e-01  1.07871629e-02 -1.21033549e-01
  4.03469168e-02  1.11800179e-01  1.93396717e-01  9.34981480e-02
  1.29334867e-01 -2.81288207e-01  8.97638947e-02 -1.61545947e-01
  2.90959179e-01  4.22893077e-01 -4.71635044e-01  9.69669759e-01
  1.01863287e-01  1.54240415e-01 -1.34520963e-01 -3.93321645e-03
 -9.01614949e-02  5.75198382e-02 -1.98517472e-01 -1.73855245e-01
 -4.94626574e-02 -2.97577739e-01 -7.38721713e-02 -1.72588766e-01
  1.91018343e+00 -9.48150828e-03 -2.75322467e-01  6.01583309e-02
 -1.93433970e-01  1.07612917e-02 -4.55122709e-01  3.35125774e-01
  3.76395226e-01 -6.81923609e-03 -8.61214623e-02 -1.19820982e-01
 -1.79325625e-01  1.68323964e-01  2.06819735e-03  8.94873142e-02
  4.50817011e-02  9.20590013e-02 -1.14195921e-01 -2.98807807e-02
 -1.67579707e-02 -1.87697858e-01 -4.71797511e-02 -2.74619848e-01
 -9.96556431e-02 -1.32938638e-01 -3.31054211e-01 -1.18146054e-02
  2.73174137e-01 -8.41815844e-02  9.87166241e-02 -2.06781060e-01
  4.57248576e-02  9.41379834e-03 -1.56143606e+00  2.26444602e-01
 -1.03585623e-01  7.16825947e-02 -6.80904761e-02  1.76906481e-01
 -2.05302536e-01  3.15252185e-01  1.41340882e-01  1.38705954e-01
  7.77703971e-02 -2.50779569e-01  1.94997475e-01 -1.13260917e-01
 -8.06905106e-02 -9.73903667e-03  1.37413666e-01 -2.60593325e-01
  7.09817484e-02 -2.38493696e-01 -6.92949891e-02  7.35812485e-02
  2.66370946e-03 -7.32109472e-02  2.11664915e-01 -2.30072498e-01
  6.27416149e-02  1.02209166e-01  4.81578335e-02  1.17104631e-02
 -1.53916385e-02 -1.66109860e-01  5.85226305e-02  5.95797524e-02
  1.76550865e-01  7.65144154e-02 -1.02729157e-01  1.16383970e-01
  2.11802676e-01  3.82039815e-01  1.36997908e-01 -4.64622676e-02]","Lindblad Expeditions Holdings, Inc. (NASDAQ:LIND) Q4 2022 Earnings Call Transcript",1
2023-03-03,"[-2.81926483e-01 -1.26324564e-01 -2.11416095e-01  4.02676277e-02
  8.29273984e-02 -2.15419874e-01 -1.34649366e-01  4.30050008e-02
  6.68766975e-01 -1.15212575e-02 -1.14273034e-01 -4.73222136e-01
 -2.30759844e-01  1.93541180e-02  4.43266600e-01  1.54086038e-01
  9.84357297e-02  3.47572233e-04  1.16340190e-01  3.40847205e-03
 -1.55372232e-01 -9.10574645e-02 -3.36019695e-01  9.75291356e-02
 -2.18922228e-01 -2.55961716e-01  3.52898657e-01  1.14028275e-01
 -7.00418577e-02 -2.70105481e-01  9.73635763e-02  1.14692412e-01
 -1.12476580e-01  9.38982796e-03  1.08389482e-01  1.50393471e-01
  5.10250032e-02  2.30073437e-01  4.03090939e-02 -1.58616304e-01
  1.88516587e-01 -8.03939700e-02 -4.03315991e-01 -3.37303638e-01
 -2.10589126e-01  5.29826172e-02  3.43163460e-01  3.48913856e-02
 -5.44297323e-02  3.03867817e-01 -1.55838847e-01  2.30382994e-01
  7.91645944e-02  2.74865001e-01 -8.05520266e-02 -1.60390869e-01
  9.78033096e-02 -5.95945977e-02 -4.80961502e-02  1.37849927e-01
  1.14562251e-01 -1.06880158e-01 -3.10695559e-01  8.07879269e-02
 -2.04205997e-02 -1.20470494e-01  3.68273288e-01  2.30951697e-01
 -6.16372712e-02  5.48145687e-03 -4.91209095e-03  1.33212715e-01
  2.52572268e-01 -2.20783073e-02 -5.79895731e-03  6.69135675e-02
  2.99689829e-01 -3.36962491e-01 -6.76372647e-02  9.69178751e-02
 -1.31041452e-01  5.83818704e-02  3.15525800e-01 -1.20754912e-01
 -2.12085038e-01 -1.05320983e-01  1.10168323e-01  9.16187167e-02
  3.00242245e-01 -2.40284070e-01 -6.33061305e-02  2.82431301e-02
  3.39321457e-02 -1.65555447e-01 -3.99810582e-01 -2.16805175e-01
  2.33244300e-01 -7.73395225e-02 -8.28257129e-02 -9.69942883e-02
  2.54899830e-01  1.92341581e-01  1.28584489e-01  2.43334338e-01
  4.22988907e-02  1.61657169e-01  6.95766151e-01  1.28510252e-01
 -2.04383880e-01 -2.07666367e-01  2.02929273e-01  1.24329040e-02
 -9.54576060e-02  9.27767456e-02  2.13184372e-01  8.39110315e-02
  2.51385272e-02 -6.49082541e-01  2.10380450e-01 -2.00120211e-01
  1.16272676e+00 -2.43290350e-01 -1.09803611e-02  3.34933698e-02
 -9.65380296e-02  1.96078360e-01 -3.32747884e-02  2.83223271e-01
 -6.40281856e-01 -4.71621826e-02  3.00977845e-02 -1.15130700e-01
 -6.65793791e-02  7.88564831e-02  4.66696694e-02 -2.48297881e-02
 -1.75587803e-01  1.20105498e-01 -2.33906612e-01 -4.53507155e-02
  1.49663657e-01 -6.04494289e-02  1.57222092e-01  1.47654722e-02
 -1.00910157e-01 -2.09978983e-01 -1.23551421e-01  1.83177297e-03
 -4.38287418e-04  1.13116510e-01 -6.34095073e-01  2.59876885e-02
  1.36776119e-01 -1.66963026e-01 -4.94924150e-02  6.22519851e-02
 -3.19765881e-02 -1.61323417e-02 -5.72264135e-01 -7.71156803e-04
  1.78332448e-01 -3.71393897e-02 -3.91679645e+00 -1.17457271e-01
  5.31516634e-02 -3.06491889e-02 -2.57799756e-02  3.45752716e-01
  2.84519736e-02  1.16645135e-01  2.91550402e-02  4.00738984e-01
  1.20013453e-01  1.66254118e-01 -5.95504232e-02 -5.21025099e-02
 -1.67083472e-01  1.79286763e-01  1.90588728e-01  1.61006138e-01
 -2.65551120e-01  1.90240577e-01  8.40228423e-02 -1.43651918e-01
  8.56404230e-02  6.98818713e-02  2.18790442e-01 -2.95064121e-01
 -1.00853764e-01 -1.71756551e-01 -1.84920102e-01 -4.54720156e-03
  2.33323172e-01 -8.70927144e-03 -6.24260068e-01 -8.57670426e-01
  2.05680326e-01 -2.18459204e-01 -1.73867177e-02 -1.70058176e-01
  7.43012875e-03  1.64274916e-01  1.84819698e-01  7.49895200e-02
  1.71170846e-01 -2.99218714e-01  6.99977726e-02 -1.77380964e-01
  2.90677994e-01  4.00238216e-01 -4.61910099e-01  9.81412590e-01
  7.07631782e-02  1.23286888e-01 -1.13796510e-01 -1.69657134e-02
 -5.06678447e-02  1.31570995e-01 -2.72069812e-01 -1.33909509e-01
 -1.31729215e-01 -2.69319832e-01 -7.98256770e-02 -1.48398444e-01
  1.95821691e+00  3.48506272e-02 -2.71946192e-01  4.25627343e-02
 -2.67889977e-01 -5.88285597e-03 -3.40829045e-01  4.58524227e-01
  4.23002988e-01  2.47339848e-02 -1.41196623e-01 -9.39985141e-02
 -2.29419872e-01  2.18986467e-01 -2.30258014e-02  1.17598385e-01
  5.58803119e-02  4.83104885e-02 -8.91906694e-02 -3.08530424e-02
  2.07275036e-03 -2.47231781e-01  3.30538489e-02 -2.47304454e-01
 -1.15222782e-01 -1.03862479e-01 -3.06314945e-01 -1.21808555e-02
  2.48767227e-01 -5.13711944e-02  3.92288491e-02 -2.09872678e-01
 -1.84525996e-02  2.23299041e-02 -1.59477293e+00  1.38890877e-01
 -9.44970772e-02  1.02117255e-01 -7.88812265e-02  1.66348666e-01
 -2.33531952e-01  2.83177972e-01  1.18743964e-01  1.70568407e-01
  2.15793382e-02 -2.27566510e-01  2.78794438e-01 -4.91696969e-02
 -3.03396434e-02 -7.10796425e-03  1.88426256e-01 -2.98748344e-01
  4.84763570e-02 -2.85042137e-01 -3.86474729e-02  5.69183640e-02
  5.93710691e-02 -6.53857440e-02  1.88360214e-01 -2.42623031e-01
  1.53068796e-01  5.64571396e-02  8.06944538e-03 -4.44065444e-02
 -8.25371407e-03 -2.07810298e-01 -5.08912802e-02 -1.51857985e-02
  1.71285704e-01  5.04019298e-02 -5.54849207e-02  1.31655484e-01
  1.97994158e-01  3.73584419e-01  1.19789355e-01 -1.47156240e-02]",RIT Capital Partners' (LON:RCP) Shareholders Will Receive A Bigger Dividend Than Last Year,1
2023-03-03,"[-2.16139331e-01 -2.15537831e-01 -3.46786261e-01  7.05676824e-02
  7.61079192e-02 -1.92956120e-01 -2.12367833e-01  1.10285632e-01
  6.07875109e-01 -1.10173747e-02 -9.99265090e-02 -4.06018883e-01
 -1.82600334e-01 -4.50887792e-02  3.53184879e-01  9.02795270e-02
  6.67519197e-02  4.28027585e-02  1.88517138e-01  3.05439439e-02
 -1.18660696e-01  1.09884210e-01 -3.77597511e-01  1.77095965e-01
 -1.61755919e-01 -1.64585054e-01  3.42887074e-01  1.14161596e-01
 -6.77261874e-02 -1.01802222e-01  2.12631568e-01  5.13980351e-02
 -1.27590522e-01 -7.53830895e-02  2.22019124e-04  1.29384220e-01
  1.60271227e-01  1.23445921e-01  1.40321299e-01 -1.27748162e-01
  1.30981430e-01 -4.60160710e-02 -4.02199090e-01 -1.76508158e-01
 -1.94503441e-01  4.51169983e-02  2.15101108e-01 -1.21334732e-01
 -7.62598366e-02  3.77024978e-01 -1.03680477e-01  2.61917561e-01
 -1.52342785e-02  2.34310701e-01 -1.13283850e-01 -1.56815514e-01
 -5.57390414e-03 -1.81417570e-01 -2.18933616e-02 -5.44487173e-03
  1.04717337e-01 -4.83864695e-02 -2.96895474e-01  1.05020106e-01
 -1.18571613e-02 -7.51539543e-02  2.35512793e-01  1.36753231e-01
 -2.49412749e-02 -7.10111335e-02  1.45047763e-02  2.13449627e-01
  1.79563984e-01 -8.31486210e-02 -4.29222547e-02  1.65790208e-02
  3.31256509e-01 -2.86537230e-01 -1.43439323e-01  8.22053254e-02
 -7.64229298e-02  8.86723921e-02  3.28554690e-01 -2.07304955e-01
 -1.74208418e-01 -1.03557728e-01  1.31413892e-01  1.55307159e-01
  2.19665945e-01 -2.19684377e-01 -3.76975313e-02  1.03952959e-01
  2.38994844e-02 -2.26532564e-01 -4.12698328e-01 -8.12282339e-02
  1.68591917e-01 -3.42100859e-01 -9.77135301e-02 -1.15182191e-01
  2.81821430e-01  6.65833876e-02  7.39803687e-02  2.92963743e-01
  3.16447727e-02  2.46910572e-01  5.65202892e-01  1.28889717e-02
 -1.48739830e-01 -8.08859766e-02  2.20873296e-01  1.78196162e-01
  4.05883528e-02  5.64354993e-02  1.89950749e-01  6.94664195e-02
  3.92371137e-03 -5.63265681e-01  2.41991743e-01 -1.48801222e-01
  9.69887614e-01 -1.62302852e-01  1.74572803e-02  7.62472078e-02
 -2.02780873e-01  1.83026582e-01  1.70274362e-01  2.75574803e-01
 -3.49066973e-01  8.37009922e-02  4.56045680e-02 -1.25989214e-01
 -8.58811438e-02  4.26645763e-02  5.53485081e-02  2.43289024e-02
 -1.89276576e-01  1.18927643e-01 -2.99826682e-01  2.87565384e-02
  6.91293180e-02 -1.34616822e-01  8.44250172e-02  3.06871738e-02
 -1.99257433e-01 -1.15566544e-01 -1.29014701e-01  2.24878713e-02
 -2.11856753e-01  1.30612478e-01 -6.79488838e-01  2.67059486e-02
  6.05184995e-02 -1.08853489e-01 -1.37594184e-02  2.29324866e-02
  3.92285921e-02 -9.24961939e-02 -5.10471940e-01 -4.35507670e-02
  2.48615697e-01 -3.43223028e-02 -4.18669796e+00 -9.23599675e-02
  4.52871583e-02 -1.32735044e-01  4.97343624e-03  1.76432237e-01
 -7.98397139e-02  1.17567524e-01  4.52332012e-02  3.80330920e-01
  1.09111764e-01  1.46042839e-01 -1.43269643e-01 -1.28905252e-01
 -2.13011459e-01  2.73195624e-01  1.64537072e-01  7.27058500e-02
 -1.19998761e-01  2.09804207e-01  4.62021716e-02 -1.00851789e-01
  1.12749532e-01  1.12186529e-01  2.00928152e-01 -1.84635490e-01
 -8.92636031e-02 -1.37312442e-01 -7.13645592e-02  3.12213432e-02
  1.66370869e-01 -4.46361378e-02 -7.05207109e-01 -9.08528924e-01
  2.77485907e-01 -1.74290314e-01  1.03972733e-01 -9.37111825e-02
  1.07391566e-01  1.26656249e-01  1.07345656e-01  1.38520434e-01
  2.32607685e-02 -2.46979967e-01  2.21460313e-02 -1.12348743e-01
  3.64446700e-01  2.96371281e-01 -5.08206785e-01  1.05176163e+00
  9.67856720e-02  2.17345819e-01 -1.18106842e-01  1.41537666e-01
 -1.77499861e-01  4.41716872e-02 -5.86563163e-02 -2.12761119e-01
  6.50215372e-02 -2.80112296e-01 -8.27506632e-02 -9.39483196e-02
  1.62565064e+00 -1.18423738e-02 -2.79202551e-01  4.06142138e-02
 -1.47472978e-01  1.80080365e-02 -4.45021361e-01  2.21581280e-01
  2.56092787e-01  4.15408202e-02 -1.30267724e-01 -4.23009321e-02
 -1.66734979e-01  1.75097436e-01  1.19955204e-01  2.17048861e-02
 -4.55587544e-02  7.04332888e-02 -1.51167169e-01 -5.75818904e-02
 -5.20501323e-02 -2.45158359e-01 -1.00289255e-01 -2.84695774e-01
 -9.00732800e-02 -1.93236664e-01 -2.99104899e-01 -3.60677368e-03
  2.92025208e-01  3.30731608e-02  7.77130350e-02 -2.16918617e-01
  1.35663047e-01 -5.84728979e-02 -1.38327479e+00  1.07607104e-01
 -1.20906718e-01 -3.17222410e-04 -1.59138426e-01  1.18852831e-01
 -1.69388857e-02  2.77833283e-01  6.89045340e-02  1.49773046e-01
  8.07106867e-02 -2.42628530e-01  1.65512577e-01 -1.48194373e-01
 -4.01495248e-02 -1.43539719e-02  3.81066985e-02 -1.77055806e-01
  1.68350972e-02 -1.83948651e-01  4.56721075e-02  1.01393178e-01
 -9.46337357e-02  4.99222726e-02  2.65406758e-01 -2.52133489e-01
  5.11662811e-02  6.48413375e-02  1.73820946e-02  2.30779126e-02
  2.47754692e-03 -1.53796673e-01  1.11060858e-01  2.70974003e-02
  1.69141322e-01  2.63829846e-02 -6.87265620e-02  4.38127406e-02
  2.47581080e-01  4.07773793e-01  1.43459707e-01 -7.41095543e-02]",These Are The AI Trends That Keep Us Up At Night,1
2023-03-03,"[-3.85690033e-01 -2.36254275e-01 -3.25416386e-01  1.00857340e-01
  3.53030711e-02 -1.81054085e-01 -1.03324383e-01  4.27676439e-02
  6.40634000e-01 -4.39731851e-02 -1.92284212e-01 -3.78856122e-01
 -1.50736496e-01 -4.75636981e-02  4.73865271e-01 -2.60117967e-02
 -9.69448593e-03  5.85862324e-02  1.96014568e-01  2.60415286e-01
 -1.11613899e-01  1.00127429e-01 -2.68256068e-01  1.10911742e-01
 -2.34283134e-01 -1.51108429e-01  3.44324440e-01  1.90638959e-01
 -1.13130994e-01 -1.24157161e-01  2.71370888e-01  1.20075472e-01
 -1.58217043e-01 -2.06228849e-02  1.20072030e-01  1.54218391e-01
  7.91511238e-02  1.97740525e-01  1.68239698e-01 -1.59224465e-01
  2.13590905e-01  1.83468834e-02 -5.08135855e-01 -3.14978302e-01
 -3.11223537e-01  6.36772960e-02  1.39137521e-01 -7.60556012e-02
 -5.66057488e-02  2.23577619e-01 -2.60203302e-01  2.79468805e-01
  9.28529724e-02  1.21368177e-01 -3.18332575e-02 -1.61017671e-01
 -5.23522077e-03 -5.17986901e-02 -6.03150912e-02  7.21508414e-02
  2.72167981e-01 -4.26176414e-02 -2.92001903e-01  1.21034257e-01
  3.23689096e-02 -1.78544104e-01  4.68266308e-01  3.27247739e-01
  1.28395215e-01 -5.29922508e-02  1.11374659e-02  1.46615982e-01
  3.12755048e-01 -9.17863175e-02  5.31016365e-02 -5.44647034e-03
  3.71255487e-01 -3.88222277e-01 -1.42224967e-01 -3.29131819e-02
 -1.30631849e-01  1.34756610e-01  3.09253991e-01  1.07653029e-01
 -9.14708450e-02 -6.12553693e-02  1.22202553e-01  8.02986845e-02
  3.81570071e-01 -2.49830678e-01 -6.36379272e-02  2.73340140e-02
 -7.82743320e-02 -1.27141818e-01 -4.05260712e-01 -2.35114008e-01
  2.45198771e-01 -2.41355777e-01 -9.33839679e-02 -1.36354461e-01
  3.40285689e-01  1.29735589e-01  5.91557175e-02  2.33729154e-01
  9.49965231e-03  1.81402162e-01  6.35785639e-01  5.98418787e-02
 -1.92109942e-01 -2.12558657e-01  3.57497424e-01  3.71386185e-02
 -1.19871199e-01 -6.48218691e-02  1.65538579e-01  1.49827972e-01
 -3.50757055e-02 -4.17257071e-01  1.93228990e-01 -8.06318000e-02
  7.67478287e-01 -1.35123342e-01 -1.06524825e-02  1.21169440e-01
 -1.13024451e-01  1.38599932e-01  8.28726813e-02  3.93680364e-01
 -6.31672025e-01  2.30862964e-02  4.05355431e-02 -6.20381609e-02
 -2.21306197e-02  1.12486698e-01  1.63863450e-01 -1.07822098e-01
 -3.01695496e-01  1.12912565e-01 -3.27472091e-01  4.88330983e-02
  1.38372272e-01 -1.01613387e-01  1.36079162e-01  2.28957877e-01
 -6.16058186e-02 -1.95895374e-01 -3.09464633e-01 -4.45489809e-02
  2.23640651e-02  9.34483781e-02 -6.40221179e-01  8.04018006e-02
  6.25157580e-02 -1.20222867e-01 -8.07935745e-02 -7.81457219e-03
 -6.84474409e-02 -1.23498134e-01 -6.38012528e-01 -7.13379234e-02
  2.83745974e-01  6.34457096e-02 -4.18439388e+00 -2.61978596e-01
 -6.28178790e-02 -4.95068869e-03  8.70279444e-04  2.54013807e-01
 -3.96617614e-02  2.64517814e-01  1.70387439e-02  3.09674174e-01
  2.56135762e-01  8.05591270e-02 -1.54521212e-01 -7.93626085e-02
 -1.88281253e-01  1.99632302e-01  2.37131163e-01  6.45756423e-02
 -3.91015768e-01  2.51331419e-01  7.86850899e-02 -1.76513627e-01
  9.00920406e-02 -3.98308933e-02  1.69242561e-01 -2.27215648e-01
 -7.32365996e-02 -8.61455351e-02 -1.32568330e-01  4.17277329e-02
  2.46783882e-01 -2.53921915e-02 -6.56584680e-01 -8.94804418e-01
  3.34175467e-01 -1.52883843e-01 -3.67470421e-02 -2.75672562e-02
  1.89352468e-01  2.39305079e-01  1.95973441e-01  7.96156004e-02
  2.45581537e-01 -1.49605393e-01 -5.29742846e-03 -1.50744423e-01
  2.37673059e-01  2.97421753e-01 -4.68784869e-01  1.00181746e+00
  8.08609873e-02  1.41998604e-01 -1.12336919e-01 -5.05995527e-02
  2.69844458e-02  2.42370129e-01 -1.17556557e-01 -1.27001017e-01
 -7.65700787e-02 -3.91259909e-01 -1.66968808e-01 -7.72710145e-02
  1.68707788e+00 -8.67420137e-02 -2.66758353e-01 -6.44341186e-02
 -2.26397395e-01 -8.63231272e-02 -6.16556108e-01  4.50245589e-01
  3.61268252e-01 -3.90713066e-02 -2.06827059e-01 -2.11282626e-01
 -2.04333946e-01  9.51137468e-02 -4.42961827e-02  7.72862509e-02
  9.08084810e-02  8.78008921e-03 -1.42975584e-01  1.96262766e-02
  6.27440140e-02 -3.89666259e-01  1.13520131e-01 -2.73843646e-01
 -6.92148209e-02 -1.95530415e-01 -3.26425254e-01 -4.16907333e-02
  2.69082457e-01 -8.57825726e-02  1.15535818e-01 -2.33710229e-01
  8.47442225e-02 -2.60943826e-02 -1.80616665e+00  2.20129341e-01
 -1.17153041e-01  1.07572898e-01  2.97514815e-02  2.20999673e-01
 -1.01776361e-01  3.04419726e-01  1.47744313e-01  1.48931714e-02
  6.63000569e-02 -2.28530869e-01  1.85294181e-01 -9.12124068e-02
 -1.36064947e-01  7.33912885e-02  2.50251532e-01 -3.13921601e-01
  8.18740577e-02 -2.42571130e-01 -5.38077503e-02  4.55677472e-02
  4.69846651e-03 -7.42251426e-02  2.44107381e-01 -2.01972470e-01
  7.50356540e-02  8.67317691e-02 -3.17066610e-02  5.32912426e-02
 -5.54681793e-02 -3.00510049e-01  5.54238223e-02 -7.57123604e-02
  7.30331913e-02  1.20211966e-01 -1.05805963e-01  1.16086192e-01
  1.02241561e-01  3.91279429e-01  3.04163080e-02 -8.79040658e-02]","U.S. financial system vulnerable to bond market stress, Fed's Logan says",1
